No.,Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
1,GK,Dominik Livaković,9 January 1995 (aged 26),21,0,Dinamo Zagreb,Croatia
2,DF,Šime Vrsaljko,10 January 1992 (aged 29),49,0,Atlético Madrid,Croatia
3,DF,Borna Barišić,10 November 1992 (aged 28),20,1,Rangers,Croatia
4,MF,Ivan Perišić,2 February 1989 (aged 32),101,28,Internazionale,Croatia
5,DF,Duje Ćaleta-Car,17 September 1996 (aged 24),14,0,Marseille,Croatia
6,DF,Dejan Lovren,5 July 1989 (aged 31),64,4,Zenit Saint Petersburg,Croatia
7,FW,Josip Brekalo,23 June 1998 (aged 22),24,4,VfL Wolfsburg,Croatia
8,MF,Mateo Kovačić,6 May 1994 (aged 27),67,3,Chelsea,Croatia
9,FW,Andrej Kramarić,19 June 1991 (aged 29),54,14,1899 Hoffenheim,Croatia
10,MF,Luka Modrić,9 September 1985 (aged 35),138,17,Real Madrid,Croatia
11,MF,Marcelo Brozović,16 November 1992 (aged 28),59,6,Internazionale,Croatia
12,GK,Lovre Kalinić,3 April 1990 (aged 31),19,0,Hajduk Split,Croatia
13,MF,Nikola Vlašić,4 October 1997 (aged 23),22,5,CSKA Moscow,Croatia
14,FW,Ante Budimir,22 July 1991 (aged 29),7,1,Osasuna,Croatia
15,MF,Mario Pašalić,9 February 1995 (aged 26),25,3,Atalanta,Croatia
16,DF,Mile Škorić,19 June 1991 (aged 29),5,0,Osijek,Croatia
17,FW,Ante Rebić,21 September 1993 (aged 27),38,3,Milan,Croatia
18,MF,Mislav Oršić,29 December 1992 (aged 28),9,0,Dinamo Zagreb,Croatia
19,MF,Milan Badelj,25 February 1989 (aged 32),55,2,Genoa,Croatia
20,FW,Bruno Petković,16 September 1994 (aged 26),15,6,Dinamo Zagreb,Croatia
21,DF,Domagoj Vida,29 April 1989 (aged 32),88,4,Beşiktaş,Croatia
22,DF,Josip Juranović,16 August 1995 (aged 25),8,0,Legia Warsaw,Croatia
23,GK,Simon Sluga,17 March 1993 (aged 28),3,0,Luton Town,Croatia
24,DF,Domagoj Bradarić,10 December 1999 (aged 21),4,0,Lille,Croatia
25,DF,Joško Gvardiol,23 January 2002 (aged 19),1,0,Dinamo Zagreb,Croatia
26,MF,Luka Ivanušec,26 November 1998 (aged 22),2,1,Dinamo Zagreb,Croatia
1,GK,Tomáš Vaclík,29 March 1989 (aged 32),37,0,Sevilla,Czech Republic
2,DF,Pavel Kadeřábek,25 April 1992 (aged 29),47,3,1899 Hoffenheim,Czech Republic
3,DF,Ondřej Čelůstka,18 June 1989 (aged 31),26,3,Sparta Prague,Czech Republic
4,DF,Jakub Brabec,6 August 1992 (aged 28),21,1,Viktoria Plzeň,Czech Republic
5,DF,Vladimír Coufal,22 August 1992 (aged 28),16,1,West Ham United,Czech Republic
6,DF,Tomáš Kalas,15 May 1993 (aged 28),23,2,Bristol City,Czech Republic
7,MF,Antonín Barák,3 December 1994 (aged 26),20,6,Hellas Verona,Czech Republic
8,MF,Vladimír Darida,8 August 1990 (aged 30),72,8,Hertha BSC,Czech Republic
9,DF,Tomáš Holeš,31 March 1993 (aged 28),8,1,Slavia Prague,Czech Republic
10,FW,Patrik Schick,24 January 1996 (aged 25),26,11,Bayer Leverkusen,Czech Republic
11,FW,Michael Krmenčík,15 March 1993 (aged 28),29,9,PAOK,Czech Republic
12,MF,Lukáš Masopust,12 February 1993 (aged 28),22,2,Slavia Prague,Czech Republic
13,MF,Petr Ševčík,4 May 1994 (aged 27),7,0,Slavia Prague,Czech Republic
14,MF,Jakub Jankto,19 January 1996 (aged 25),35,4,Sampdoria,Czech Republic
15,MF,Tomáš Souček,27 February 1995 (aged 26),35,7,West Ham United,Czech Republic
16,GK,Aleš Mandous,21 April 1992 (aged 29),1,0,Sigma Olomouc,Czech Republic
17,DF,David Zima,8 November 2000 (aged 20),2,0,Slavia Prague,Czech Republic
18,DF,Jan Bořil,11 January 1991 (aged 30),23,0,Slavia Prague,Czech Republic
19,FW,Adam Hložek,25 July 2002 (aged 18),3,0,Sparta Prague,Czech Republic
20,FW,Matěj Vydra,1 May 1992 (aged 29),36,6,Burnley,Czech Republic
21,MF,Alex Král,19 May 1998 (aged 23),18,2,Spartak Moscow,Czech Republic
22,DF,Aleš Matějů,3 June 1996 (aged 25),4,0,Brescia,Czech Republic
23,GK,Tomáš Koubek,26 August 1992 (aged 28),11,0,FC Augsburg,Czech Republic
24,FW,Tomáš Pekhart,26 May 1989 (aged 32),22,2,Legia Warsaw,Czech Republic
25,MF,Jakub Pešek,24 June 1993 (aged 27),2,1,Slovan Liberec,Czech Republic
26,MF,Michal Sadílek,31 May 1999 (aged 22),1,0,Slovan Liberec,Czech Republic
1,GK,Jordan Pickford,7 March 1994 (aged 27),31,0,Everton,England
2,DF,Kyle Walker,28 May 1990 (aged 31),55,0,Manchester City,England
3,DF,Luke Shaw,12 July 1995 (aged 25),10,0,Manchester United,England
4,MF,Declan Rice,14 January 1999 (aged 22),17,1,West Ham United,England
5,DF,John Stones,28 May 1994 (aged 27),42,2,Manchester City,England
6,DF,Harry Maguire,5 March 1993 (aged 28),32,3,Manchester United,England
7,MF,Jack Grealish,10 September 1995 (aged 25),7,0,Aston Villa,England
8,MF,Jordan Henderson,17 June 1990 (aged 30),59,0,Liverpool,England
9,FW,Harry Kane,28 July 1993 (aged 27),54,34,Tottenham Hotspur,England
10,FW,Raheem Sterling,8 December 1994 (aged 26),61,14,Manchester City,England
11,FW,Marcus Rashford,31 October 1997 (aged 23),41,12,Manchester United,England
12,DF,Kieran Trippier,19 September 1990 (aged 30),28,1,Atlético Madrid,England
13,GK,Dean Henderson,12 March 1997 (aged 24),1,0,Manchester United,England
13,GK,Aaron Ramsdale,14 May 1998 (aged 23),0,0,Sheffield United,England
14,MF,Kalvin Phillips,2 December 1995 (aged 25),8,0,Leeds United,England
15,DF,Tyrone Mings,13 March 1993 (aged 28),10,0,Aston Villa,England
16,DF,Conor Coady,25 February 1993 (aged 28),5,1,Wolverhampton Wanderers,England
17,MF,Jadon Sancho,25 March 2000 (aged 21),19,3,Borussia Dortmund,England
18,FW,Dominic Calvert-Lewin,16 March 1997 (aged 24),9,4,Everton,England
19,MF,Mason Mount,10 January 1999 (aged 22),16,4,Chelsea,England
20,MF,Phil Foden,28 May 2000 (aged 21),6,2,Manchester City,England
21,DF,Ben Chilwell,21 December 1996 (aged 24),14,0,Chelsea,England
22,DF,Ben White,8 October 1997 (aged 23),2,0,Brighton & Hove Albion,England
23,GK,Sam Johnstone,25 March 1993 (aged 28),1,0,West Bromwich Albion,England
24,DF,Reece James,8 December 1999 (aged 21),6,0,Chelsea,England
25,MF,Bukayo Saka,5 September 2001 (aged 19),5,1,Arsenal,England
26,MF,Jude Bellingham,29 June 2003 (aged 17),4,0,Borussia Dortmund,England
1,GK,David Marshall,5 March 1985 (aged 36),44,0,Derby County,Scotland
2,DF,Stephen O'Donnell,11 May 1992 (aged 29),19,0,Motherwell,Scotland
3,DF,Andrew Robertson,11 March 1994 (aged 27),45,3,Liverpool,Scotland
4,MF,Scott McTominay,8 December 1996 (aged 24),23,0,Manchester United,Scotland
5,DF,Grant Hanley,20 November 1991 (aged 29),33,2,Norwich City,Scotland
6,DF,Kieran Tierney,5 June 1997 (aged 24),21,0,Arsenal,Scotland
7,MF,John McGinn,18 October 1994 (aged 26),33,10,Aston Villa,Scotland
8,MF,Callum McGregor,14 June 1993 (aged 27),31,0,Celtic,Scotland
9,FW,Lyndon Dykes,7 October 1995 (aged 25),12,2,Queens Park Rangers,Scotland
10,FW,Ché Adams,13 July 1996 (aged 24),4,2,Southampton,Scotland
11,MF,Ryan Christie,22 February 1995 (aged 26),19,4,Celtic,Scotland
12,GK,Craig Gordon,31 December 1982 (aged 38),57,0,Heart of Midlothian,Scotland
13,DF,Greg Taylor,5 November 1997 (aged 23),5,0,Celtic,Scotland
14,MF,John Fleck,24 August 1991 (aged 29),5,0,Sheffield United,Scotland
15,DF,Declan Gallagher,13 February 1991 (aged 30),9,0,Motherwell,Scotland
16,DF,Liam Cooper,30 August 1991 (aged 29),6,0,Leeds United,Scotland
17,MF,Stuart Armstrong,30 March 1992 (aged 29),25,2,Southampton,Scotland
18,MF,David Turnbull,10 July 1999 (aged 21),1,0,Celtic,Scotland
19,FW,Kevin Nisbet,8 March 1997 (aged 24),3,1,Hibernian,Scotland
20,MF,Ryan Fraser,24 February 1994 (aged 27),18,4,Newcastle United,Scotland
21,GK,Jon McLaughlin,9 September 1987 (aged 33),2,0,Rangers,Scotland
22,DF,Nathan Patterson,16 October 2001 (aged 19),1,0,Rangers,Scotland
23,MF,Billy Gilmour,11 June 2001 (aged 20),2,0,Chelsea,Scotland
24,DF,Jack Hendry,7 May 1995 (aged 26),6,1,Oostende,Scotland
25,MF,James Forrest,7 July 1991 (aged 29),37,5,Celtic,Scotland
26,DF,Scott McKenna,12 November 1996 (aged 24),21,0,Nottingham Forest,Scotland
1,GK,Wojciech Szczęsny,18 April 1990 (aged 31),53,0,Juventus,Poland
2,DF,Kamil Piątkowski,21 June 2000 (aged 20),2,0,Raków Częstochowa,Poland
3,MF,Paweł Dawidowicz,20 May 1995 (aged 26),3,0,Hellas Verona,Poland
4,DF,Tomasz Kędziora,11 June 1994 (aged 27),23,0,Dynamo Kyiv,Poland
5,DF,Jan Bednarek,12 April 1996 (aged 25),30,1,Southampton,Poland
6,MF,Kacper Kozłowski,16 October 2003 (aged 17),3,0,Pogoń Szczecin,Poland
8,MF,Karol Linetty,2 February 1995 (aged 26),32,2,Torino,Poland
9,FW,Robert Lewandowski,21 August 1988 (aged 32),119,66,Bayern Munich,Poland
10,MF,Grzegorz Krychowiak,29 January 1990 (aged 31),80,4,Lokomotiv Moscow,Poland
11,FW,Karol Świderski,23 January 1997 (aged 24),4,2,PAOK,Poland
12,GK,Łukasz Skorupski,5 May 1991 (aged 30),4,0,Bologna,Poland
13,DF,Maciej Rybus,19 August 1989 (aged 31),62,2,Lokomotiv Moscow,Poland
14,MF,Mateusz Klich,13 June 1990 (aged 30),31,2,Leeds United,Poland
15,DF,Kamil Glik,3 February 1988 (aged 33),83,6,Benevento,Poland
16,MF,Jakub Moder,7 April 1999 (aged 22),10,2,Brighton & Hove Albion,Poland
17,MF,Przemysław Płacheta,23 March 1998 (aged 23),4,0,Norwich City,Poland
18,DF,Bartosz Bereszyński,12 July 1992 (aged 28),32,0,Sampdoria,Poland
19,MF,Przemysław Frankowski,12 April 1995 (aged 26),12,1,Chicago Fire FC,Poland
20,MF,Piotr Zieliński,20 May 1994 (aged 27),60,7,Napoli,Poland
21,MF,Kamil Jóźwiak,22 April 1998 (aged 23),14,2,Derby County,Poland
22,GK,Łukasz Fabiański,18 April 1985 (aged 36),56,0,West Ham United,Poland
23,FW,Dawid Kownacki,14 March 1997 (aged 24),7,1,Fortuna Düsseldorf,Poland
24,FW,Jakub Świerczok,28 December 1992 (aged 28),5,1,Piast Gliwice,Poland
25,DF,Michał Helik,9 September 1995 (aged 25),3,0,Barnsley,Poland
26,DF,Tymoteusz Puchacz,23 January 1999 (aged 22),2,0,Lech Poznań,Poland
1,GK,Martin Dúbravka,15 January 1989 (aged 32),25,0,Newcastle United,Slovakia
2,DF,Peter Pekarík,30 October 1986 (aged 34),101,2,Hertha BSC,Slovakia
3,DF,Denis Vavro,10 April 1996 (aged 25),10,0,Huesca,Slovakia
4,DF,Martin Valjent,11 December 1995 (aged 25),9,0,Mallorca,Slovakia
5,DF,Ľubomír Šatka,2 December 1995 (aged 25),14,0,Lech Poznań,Slovakia
6,MF,Ján Greguš,29 January 1991 (aged 30),35,4,Minnesota United FC,Slovakia
7,MF,Vladimír Weiss,30 November 1989 (aged 31),69,7,Slovan Bratislava,Slovakia
8,MF,Ondrej Duda,5 December 1994 (aged 26),45,5,1. FC Köln,Slovakia
9,FW,Róbert Boženík,18 November 1999 (aged 21),16,4,Feyenoord,Slovakia
10,MF,Tomáš Suslov,7 June 2002 (aged 19),3,0,Groningen,Slovakia
11,MF,László Bénes,9 September 1997 (aged 23),5,1,FC Augsburg,Slovakia
12,GK,Dušan Kuciak,21 May 1985 (aged 36),14,0,Lechia Gdańsk,Slovakia
13,MF,Patrik Hrošovský,22 April 1992 (aged 29),36,0,Genk,Slovakia
14,DF,Milan Škriniar,11 February 1995 (aged 26),40,2,Internazionale,Slovakia
15,DF,Tomáš Hubočan,17 September 1985 (aged 35),70,0,Omonia,Slovakia
16,DF,Dávid Hancko,13 December 1997 (aged 23),14,1,Sparta Prague,Slovakia
17,MF,Marek Hamšík,27 July 1987 (aged 33),126,26,IFK Göteborg,Slovakia
18,MF,Lukáš Haraslín,26 May 1996 (aged 25),15,1,Sassuolo,Slovakia
19,MF,Juraj Kucka,26 February 1987 (aged 34),83,10,Parma,Slovakia
20,FW,Róbert Mak,8 March 1991 (aged 30),66,14,Ferencváros,Slovakia
21,FW,Michal Ďuriš,1 June 1988 (aged 33),56,7,Omonia,Slovakia
22,MF,Stanislav Lobotka,25 November 1994 (aged 26),28,3,Napoli,Slovakia
23,GK,Marek Rodák,13 December 1996 (aged 24),6,0,Fulham,Slovakia
24,DF,Martin Koscelník,2 March 1995 (aged 26),5,0,Slovan Liberec,Slovakia
25,MF,Jakub Hromada,25 May 1996 (aged 25),2,0,Slavia Prague,Slovakia
26,FW,Ivan Schranz,13 September 1993 (aged 27),8,1,Jablonec,Slovakia
1,GK,David de Gea,7 November 1990 (aged 30),45,0,Manchester United,Spain
2,DF,César Azpilicueta,28 August 1989 (aged 31),25,0,Chelsea,Spain
3,DF,Diego Llorente,16 August 1993 (aged 27),8,0,Leeds United,Spain
4,DF,Pau Torres,16 January 1997 (aged 24),8,1,Villarreal,Spain
5,MF,Sergio Busquets,16 July 1988 (aged 32),123,2,Barcelona,Spain
6,MF,Marcos Llorente,30 January 1995 (aged 26),5,0,Atlético Madrid,Spain
7,FW,Álvaro Morata,23 October 1992 (aged 28),40,19,Juventus,Spain
8,MF,Koke,8 January 1992 (aged 29),50,0,Atlético Madrid,Spain
9,FW,Gerard Moreno,7 April 1992 (aged 29),11,5,Villarreal,Spain
10,MF,Thiago,11 April 1991 (aged 30),42,2,Liverpool,Spain
11,MF,Ferran Torres,29 February 2000 (aged 21),11,6,Manchester City,Spain
12,DF,Eric García,9 January 2001 (aged 20),8,0,Manchester City,Spain
13,GK,Robert Sánchez,18 November 1997 (aged 23),0,0,Brighton & Hove Albion,Spain
14,DF,José Gayà,25 May 1995 (aged 26),14,2,Valencia,Spain
16,MF,Rodri,22 June 1996 (aged 24),20,1,Manchester City,Spain
17,MF,Fabián Ruiz,3 April 1996 (aged 25),12,1,Napoli,Spain
18,DF,Jordi Alba,21 March 1989 (aged 32),72,8,Barcelona,Spain
19,MF,Dani Olmo,7 May 1998 (aged 23),11,3,RB Leipzig,Spain
20,MF,Adama Traoré,25 January 1996 (aged 25),5,0,Wolverhampton Wanderers,Spain
21,FW,Mikel Oyarzabal,21 April 1997 (aged 24),13,4,Real Sociedad,Spain
22,MF,Pablo Sarabia,11 May 1992 (aged 29),4,1,Paris Saint-Germain,Spain
23,GK,Unai Simón,11 June 1997 (aged 24),7,0,Athletic Bilbao,Spain
24,DF,Aymeric Laporte,27 May 1994 (aged 27),1,0,Manchester City,Spain
26,FW,Pedri,25 November 2002 (aged 18),4,0,Barcelona,Spain
1,GK,Robin Olsen,8 January 1990 (aged 31),44,0,Everton,Sweden
2,DF,Mikael Lustig,13 December 1986 (aged 34),90,6,AIK,Sweden
3,DF,Victor Lindelöf,17 July 1994 (aged 26),41,3,Manchester United,Sweden
4,DF,Andreas Granqvist,16 April 1985 (aged 36),88,9,Helsingborgs IF,Sweden
5,DF,Pierre Bengtsson,12 April 1988 (aged 33),38,0,Vejle,Sweden
6,DF,Ludwig Augustinsson,21 April 1994 (aged 27),32,2,Werder Bremen,Sweden
7,MF,Sebastian Larsson,6 June 1985 (aged 36),129,10,AIK,Sweden
8,MF,Albin Ekdal,28 July 1989 (aged 31),57,0,Sampdoria,Sweden
9,FW,Marcus Berg,17 August 1986 (aged 34),86,24,Krasnodar,Sweden
10,MF,Emil Forsberg,23 October 1991 (aged 29),58,9,RB Leipzig,Sweden
11,FW,Alexander Isak,21 September 1999 (aged 21),22,6,Real Sociedad,Sweden
12,GK,Karl-Johan Johnsson,28 January 1990 (aged 31),9,0,Copenhagen,Sweden
13,MF,Gustav Svensson,7 February 1987 (aged 34),31,0,Guangzhou City,Sweden
14,DF,Filip Helander,22 April 1993 (aged 28),15,0,Rangers,Sweden
15,MF,Ken Sema,30 September 1993 (aged 27),12,0,Watford,Sweden
16,DF,Emil Krafth,2 August 1994 (aged 26),28,0,Newcastle United,Sweden
17,MF,Viktor Claesson,2 January 1992 (aged 29),46,9,Krasnodar,Sweden
18,DF,Pontus Jansson,13 February 1991 (aged 30),27,0,Brentford,Sweden
19,MF,Mattias Svanberg,5 January 1999 (aged 22),9,1,Bologna,Sweden
20,MF,Kristoffer Olsson,30 June 1995 (aged 25),25,0,Krasnodar,Sweden
21,MF,Dejan Kulusevski,25 April 2000 (aged 21),13,1,Juventus,Sweden
22,MF,Robin Quaison,9 October 1993 (aged 27),26,9,Mainz 05,Sweden
23,GK,Kristoffer Nordfeldt,23 June 1989 (aged 31),14,0,Gençlerbirliği,Sweden
24,DF,Marcus Danielson,8 April 1989 (aged 32),9,3,Dalian Professional,Sweden
25,FW,Jordan Larsson,20 June 1997 (aged 23),6,1,Spartak Moscow,Sweden
26,MF,Jens Cajuste,10 August 1999 (aged 21),4,0,Midtjylland,Sweden
1,GK,Hugo Lloris,26 December 1986 (aged 34),125,0,Tottenham Hotspur,France
2,DF,Benjamin Pavard,28 March 1996 (aged 25),35,2,Bayern Munich,France
3,DF,Presnel Kimpembe,13 August 1995 (aged 25),17,0,Paris Saint-Germain,France
4,DF,Raphaël Varane,25 April 1993 (aged 28),75,5,Real Madrid,France
5,DF,Clément Lenglet,17 June 1995 (aged 25),12,1,Barcelona,France
6,MF,Paul Pogba,15 March 1993 (aged 28),80,10,Manchester United,France
7,FW,Antoine Griezmann,21 March 1991 (aged 30),91,37,Barcelona,France
8,MF,Thomas Lemar,12 November 1995 (aged 25),25,4,Atlético Madrid,France
9,FW,Olivier Giroud,30 September 1986 (aged 34),108,46,Chelsea,France
10,FW,Kylian Mbappé,20 December 1998 (aged 22),44,17,Paris Saint-Germain,France
11,FW,Ousmane Dembélé,15 May 1997 (aged 24),25,4,Barcelona,France
12,MF,Corentin Tolisso,3 August 1994 (aged 26),25,2,Bayern Munich,France
13,MF,N'Golo Kanté,29 March 1991 (aged 30),46,2,Chelsea,France
14,MF,Adrien Rabiot,3 April 1995 (aged 26),15,0,Juventus,France
15,DF,Kurt Zouma,27 October 1994 (aged 26),8,1,Chelsea,France
16,GK,Steve Mandanda,28 March 1985 (aged 36),34,0,Marseille,France
17,MF,Moussa Sissoko,16 August 1989 (aged 31),69,2,Tottenham Hotspur,France
18,DF,Lucas Digne,20 July 1993 (aged 27),38,0,Everton,France
19,FW,Karim Benzema,19 December 1987 (aged 33),83,27,Real Madrid,France
20,MF,Kingsley Coman,13 June 1996 (aged 24),30,5,Bayern Munich,France
21,DF,Lucas Hernandez,14 February 1996 (aged 25),26,0,Bayern Munich,France
22,FW,Wissam Ben Yedder,12 August 1990 (aged 30),14,2,Monaco,France
23,GK,Mike Maignan,3 July 1995 (aged 25),1,0,Lille,France
24,DF,Léo Dubois,14 September 1994 (aged 26),7,0,Lyon,France
25,DF,Jules Koundé,12 November 1998 (aged 22),1,0,Sevilla,France
26,FW,Marcus Thuram,6 August 1997 (aged 23),3,0,Borussia Mönchengladbach,France
1,GK,Manuel Neuer,27 March 1986 (aged 35),100,0,Bayern Munich,Germany
2,DF,Antonio Rüdiger,3 March 1993 (aged 28),41,1,Chelsea,Germany
3,DF,Marcel Halstenberg,27 September 1991 (aged 29),8,1,RB Leipzig,Germany
4,DF,Matthias Ginter,19 January 1994 (aged 27),40,2,Borussia Mönchengladbach,Germany
5,DF,Mats Hummels,16 December 1988 (aged 32),72,5,Borussia Dortmund,Germany
6,MF,Joshua Kimmich,8 February 1995 (aged 26),55,3,Bayern Munich,Germany
7,FW,Kai Havertz,11 June 1999 (aged 22),14,3,Chelsea,Germany
8,MF,Toni Kroos,4 January 1990 (aged 31),102,17,Real Madrid,Germany
9,FW,Kevin Volland,30 July 1992 (aged 28),11,1,Monaco,Germany
10,MF,Serge Gnabry,14 July 1995 (aged 25),22,16,Bayern Munich,Germany
11,FW,Timo Werner,6 March 1996 (aged 25),39,16,Chelsea,Germany
12,GK,Bernd Leno,4 March 1992 (aged 29),8,0,Arsenal,Germany
13,MF,Jonas Hofmann,14 July 1992 (aged 28),3,0,Borussia Mönchengladbach,Germany
14,MF,Jamal Musiala,26 February 2003 (aged 18),3,0,Bayern Munich,Germany
15,DF,Niklas Süle,3 September 1995 (aged 25),31,1,Bayern Munich,Germany
16,DF,Lukas Klostermann,3 June 1996 (aged 25),13,0,RB Leipzig,Germany
17,MF,Florian Neuhaus,16 March 1997 (aged 24),6,2,Borussia Mönchengladbach,Germany
18,MF,Leon Goretzka,6 February 1995 (aged 26),32,13,Bayern Munich,Germany
19,MF,Leroy Sané,11 January 1996 (aged 25),30,7,Bayern Munich,Germany
20,DF,Robin Gosens,5 July 1994 (aged 26),7,1,Atalanta,Germany
21,MF,İlkay Gündoğan,24 October 1990 (aged 30),46,11,Manchester City,Germany
22,GK,Kevin Trapp,8 July 1990 (aged 30),5,0,Eintracht Frankfurt,Germany
23,DF,Emre Can,12 January 1994 (aged 27),34,1,Borussia Dortmund,Germany
24,DF,Robin Koch,17 July 1996 (aged 24),8,0,Leeds United,Germany
25,FW,Thomas Müller,13 September 1989 (aged 31),102,39,Bayern Munich,Germany
26,DF,Christian Günter,28 February 1993 (aged 28),3,0,SC Freiburg,Germany
1,GK,Péter Gulácsi,6 May 1990 (aged 31),39,0,RB Leipzig,Hungary
2,DF,Ádám Lang,17 January 1993 (aged 28),39,1,Omonia,Hungary
3,DF,Ákos Kecskés,4 January 1996 (aged 25),2,0,Lugano,Hungary
4,DF,Attila Szalai,20 January 1998 (aged 23),13,0,Fenerbahçe,Hungary
5,DF,Attila Fiola,17 February 1990 (aged 31),35,1,Fehérvár,Hungary
6,DF,Willi Orbán,3 November 1992 (aged 28),22,5,RB Leipzig,Hungary
7,DF,Loïc Négo,15 January 1991 (aged 30),11,2,Fehérvár,Hungary
8,MF,Ádám Nagy,17 June 1995 (aged 25),48,1,Bristol City,Hungary
9,FW,Ádám Szalai,9 December 1987 (aged 33),71,23,Mainz 05,Hungary
10,MF,Tamás Cseri,15 January 1988 (aged 33),3,0,Mezőkövesd,Hungary
11,FW,Filip Holender,27 July 1994 (aged 26),15,1,Partizan,Hungary
12,GK,Dénes Dibusz,16 November 1990 (aged 30),15,0,Ferencváros,Hungary
13,MF,András Schäfer,13 April 1999 (aged 22),6,1,Dunajská Streda,Hungary
14,DF,Gergő Lovrencsics,1 September 1988 (aged 32),41,1,Ferencváros,Hungary
15,MF,László Kleinheisler,8 April 1994 (aged 27),34,3,Osijek,Hungary
16,MF,Dániel Gazdag,2 March 1996 (aged 25),6,1,Philadelphia Union,Hungary
17,MF,Roland Varga,23 January 1990 (aged 31),22,3,MTK Budapest,Hungary
18,MF,Dávid Sigér,30 November 1990 (aged 30),13,1,Ferencváros,Hungary
19,MF,Kevin Varga,30 March 1996 (aged 25),8,1,Kasımpaşa,Hungary
20,FW,Roland Sallai,22 May 1997 (aged 24),22,4,SC Freiburg,Hungary
21,DF,Endre Botka,25 August 1994 (aged 26),10,0,Ferencváros,Hungary
22,GK,Ádám Bogdán,27 September 1987 (aged 33),21,0,Ferencváros,Hungary
23,FW,Nemanja Nikolić,31 December 1987 (aged 33),38,8,Fehérvár,Hungary
24,FW,Szabolcs Schön,27 September 2000 (aged 20),1,0,FC Dallas,Hungary
25,FW,János Hahn,15 March 1995 (aged 26),2,0,Paks,Hungary
26,DF,Bendegúz Bolla,22 November 1999 (aged 21),2,0,Fehérvár,Hungary
1,GK,Rui Patrício,15 February 1988 (aged 33),93,0,Wolverhampton Wanderers,Portugal
2,DF,Nélson Semedo,16 November 1993 (aged 27),18,0,Wolverhampton Wanderers,Portugal
3,DF,Pepe,26 February 1983 (aged 38),115,7,Porto,Portugal
4,DF,Rúben Dias,14 May 1997 (aged 24),28,2,Manchester City,Portugal
5,DF,Raphaël Guerreiro,22 December 1993 (aged 27),46,2,Borussia Dortmund,Portugal
6,DF,José Fonte,22 December 1983 (aged 37),46,0,Lille,Portugal
7,FW,Cristiano Ronaldo,5 February 1985 (aged 36),175,104,Juventus,Portugal
8,MF,João Moutinho,8 September 1986 (aged 34),131,7,Wolverhampton Wanderers,Portugal
9,FW,André Silva,6 November 1995 (aged 25),39,16,Eintracht Frankfurt,Portugal
10,MF,Bernardo Silva,10 August 1994 (aged 26),55,7,Manchester City,Portugal
11,MF,Bruno Fernandes,8 September 1994 (aged 26),29,4,Manchester United,Portugal
12,GK,Anthony Lopes,1 October 1990 (aged 30),13,0,Lyon,Portugal
13,MF,Danilo Pereira,9 September 1991 (aged 29),47,2,Paris Saint-Germain,Portugal
14,MF,William Carvalho,7 April 1992 (aged 29),66,4,Real Betis,Portugal
15,FW,Rafa Silva,17 May 1993 (aged 28),21,0,Benfica,Portugal
16,MF,Renato Sanches,18 August 1997 (aged 23),26,2,Lille,Portugal
17,MF,Gonçalo Guedes,29 November 1996 (aged 24),23,6,Valencia,Portugal
18,MF,Rúben Neves,13 March 1997 (aged 24),21,0,Wolverhampton Wanderers,Portugal
19,MF,Pedro Gonçalves,28 June 1998 (aged 22),2,0,Sporting CP,Portugal
20,DF,Diogo Dalot,18 March 1999 (aged 22),0,0,Milan,Portugal
21,FW,Diogo Jota,4 December 1996 (aged 24),14,6,Liverpool,Portugal
22,GK,Rui Silva,7 February 1994 (aged 27),1,0,Granada,Portugal
23,FW,João Félix,10 November 1999 (aged 21),17,3,Atlético Madrid,Portugal
24,MF,Sérgio Oliveira,2 June 1992 (aged 29),11,0,Porto,Portugal
25,DF,Nuno Mendes,19 June 2002 (aged 18),5,0,Sporting CP,Portugal
26,MF,João Palhinha,9 July 1995 (aged 25),4,1,Sporting CP,Portugal
